prefecture,year,bear_killed_count
北海道,2008,351
青森,2008,47
岩手,2008,86
宮城,2008,46
秋田,2008,46
山形,2008,142
福島,2008,111
茨城,2008,0
栃木,2008,24
群馬,2008,75
埼玉,2008,6
千葉,2008,0
東京,2008,1
神奈川,2008,0
新潟,2008,101
富山,2008,37
石川,2008,38
福井,2008,4
山梨,2008,23
長野,2008,121
岐阜,2008,30
静岡,2008,17
愛知,2008,0
三重,2008,0
滋賀,2008,0
京都,2008,8
大阪,2008,0
兵庫,2008,3
奈良,2008,0
和歌山,2008,0
鳥取,2008,1
島根,2008,13
岡山,2008,0
広島,2008,38
山口,2008,1
計,2008,1370
北海道,2009,606
青森,2009,61
岩手,2009,127
宮城,2009,35
秋田,2009,200
山形,2009,109
福島,2009,64
茨城,2009,0
栃木,2009,11
群馬,2009,70
埼玉,2009,6
千葉,2009,0
東京,2009,0
神奈川,2009,0
新潟,2009,67
富山,2009,15
石川,2009,18
福井,2009,5
山梨,2009,21
長野,2009,97
岐阜,2009,46
静岡,2009,16
愛知,2009,1
三重,2009,0
滋賀,2009,0
京都,2009,4
大阪,2009,0
兵庫,2009,2
奈良,2009,0
和歌山,2009,0
鳥取,2009,0
島根,2009,1
岡山,2009,0
広島,2009,2
山口,2009,0
計,2009,1584
北海道,2010,470
青森,2010,66
岩手,2010,149
宮城,2010,72
秋田,2010,241
山形,2010,213
福島,2010,298
茨城,2010,0
栃木,2010,51
群馬,2010,232
埼玉,2010,11
千葉,2010,0
東京,2010,2
神奈川,2010,0
新潟,2010,425
富山,2010,186
石川,2010,75
福井,2010,63
山梨,2010,29
長野,2010,361
岐阜,2010,231
静岡,2010,18
愛知,2010,5
三重,2010,0
滋賀,2010,9
京都,2010,54
大阪,2010,0
兵庫,2010,69
奈良,2010,0
和歌山,2010,0
鳥取,2010,38
島根,2010,49
岡山,2010,0
広島,2010,105
山口,2010,22
計,2010,3544
北海道,2011,692
青森,2011,54
岩手,2011,92
宮城,2011,23
秋田,2011,216
山形,2011,109
福島,2011,52
茨城,2011,0
栃木,2011,35
群馬,2011,61
埼玉,2011,12
千葉,2011,0
東京,2011,0
神奈川,2011,0
新潟,2011,56
富山,2011,16
石川,2011,10
福井,2011,4
山梨,2011,11
長野,2011,129
岐阜,2011,56
静岡,2011,19
愛知,2011,0
三重,2011,0
滋賀,2011,0
京都,2011,4
大阪,2011,0
兵庫,2011,2
奈良,2011,0
和歌山,2011,0
鳥取,2011,0
島根,2011,2
岡山,2011,0
広島,2011,12
山口,2011,0
