prefecture,year,count,injured,death
北海道,2008,3,3,3
北海道,2009,2,2,0
北海道,2010,3,3,2
北海道,2011,2,3,1
北海道,2012,2,2,0
北海道,2013,4,4,1
北海道,2014,5,5,1
北海道,2015,0,0,0
北海道,2016,1,1,0
北海道,2017,4,4,1
北海道,2018,3,3,0
北海道,2019,3,3,0
北海道,2020,2,2,0
北海道,2021,9,14,4
北海道,2022,3,4,0
北海道,2023,6,9,2
北海道,2024,3,3,0
北海道,2025,5,6,2
青森,2008,2,6,0
青森,2009,4,4,1
青森,2010,4,4,0
青森,2011,5,5,0
青森,2012,2,2,0
青森,2013,2,3,0
青森,2014,3,3,0
青森,2015,2,2,0
青森,2016,0,0,0
青森,2017,8,9,0
青森,2018,3,3,0
青森,2019,5,5,0
青森,2020,5,5,0
青森,2021,1,1,1
青森,2022,1,1,0
青森,2023,10,11,0
青森,2024,4,4,1
青森,2025,8,8,0
岩手,2008,9,10,0
岩手,2009,14,15,1
岩手,2010,14,14,0
岩手,2011,16,18,0
岩手,2012,19,19,0
岩手,2013,7,11,0
岩手,2014,13,16,0
岩手,2015,13,14,0
岩手,2016,17,19,0
岩手,2017,16,17,0
岩手,2018,12,12,0
岩手,2019,15,16,0
岩手,2020,27,29,0
岩手,2021,14,14,0
岩手,2022,23,24,0
岩手,2023,46,49,2
岩手,2024,10,10,1
岩手,2025,33,34,5
宮城,2008,1,1,0
宮城,2009,1,1,0
宮城,2010,3,3,0
宮城,2011,3,3,0
宮城,2012,0,0,0
宮城,2013,3,3,0
宮城,2014,4,4,0
宮城,2015,1,1,0
宮城,2016,6,6,0
宮城,2017,3,3,0
宮城,2018,1,1,0
宮城,2019,6,6,1
宮城,2020,1,1,0
宮城,2021,2,2,0
宮城,2022,5,7,0
宮城,2023,3,3,0
宮城,2024,0,0,0
宮城,2025,4,4,1
秋田,2008,4,4,0
秋田,2009,8,9,0
秋田,2010,10,10,0
秋田,2011,17,20,0
秋田,2012,6,6,0
秋田,2013,5,5,0
秋田,2014,10,10,0
秋田,2015,7,8,0
秋田,2016,19,19,4
秋田,2017,19,20,1
秋田,2018,7,7,0
秋田,2019,14,16,0
秋田,2020,8,9,1
秋田,2021,12,12,0
秋田,2022,6,6,1
秋田,2023,62,70,0
秋田,2024,10,11,0
秋田,2025,49,56,3
山形,2008,1,2,0
山形,2009,2,2,0
山形,2010,10,11,0
山形,2011,4,4,0
山形,2012,5,5,0
山形,2013,0,0,0
山形,2014,2,2,0
山形,2015,1,1,0
山形,2016,2,2,0
山形,2017,4,4,0
山形,2018,1,1,0
山形,2019,4,4,0
山形,2020,5,5,0
山形,2021,0,0,0
山形,2022,2,2,0
山形,2023,5,5,0
山形,2024,4,4,0
山形,2025,8,8,0
福島,2008,5,5,0
福島,2009,5,5,0
福島,2010,10,10,1
福島,2011,3,4,1
福島,2012,4,5,1
福島,2013,9,14,1
福島,2014,9,9,0
福島,2015,5,5,0
福島,2016,6,7,0
福島,2017,8,9,0
福島,2018,1,1,0
福島,2019,9,10,0
福島,2020,9,9,0
福島,2021,3,3,0
福島,2022,7,7,1
福島,2023,15,15,0
福島,2024,6,6,1
福島,2025,17,20,0
茨城,2008,0,0,0
茨城,2009,0,0,0
茨城,2010,0,0,0
茨城,2011,0,0,0
茨城,2012,0,0,0
茨城,2013,0,0,0
茨城,2014,0,0,0
茨城,2015,0,0,0
茨城,2016,0,0,0
茨城,2017,0,0,0
茨城,2018,0,0,0
茨城,2019,0,0,0
茨城,2020,0,0,0
茨城,2021,0,0,0
茨城,2022,0,0,0
茨城,2023,0,0,0
茨城,2024,0,0,0
茨城,2025,0,0,0
栃木,2008,0,0,0
栃木,2009,1,1,0
栃木,2010,2,2,0
栃木,2011,1,1,0
栃木,2012,2,2,0
栃木,2013,4,4,0
栃木,2014,0,0,0
栃木,2015,1,1,0
栃木,2016,1,1,0
栃木,2017,4,4,0
栃木,2018,0,0,0
栃木,2019,2,2,0
栃木,2020,3,3,0
栃木,2021,0,0,0
栃木,2022,3,3,0
栃木,2023,1,1,0
栃木,2024,2,2,0
栃木,2025,3,3,0
群馬,2008,1,1,0
群馬,2009,2,2,0
群馬,2010,9,9,0
群馬,2011,1,1,0
群馬,2012,7,7,0
群馬,2013,2,2,0
群馬,2014,4,4,0
群馬,2015,3,4,0
群馬,2016,6,7,0
群馬,2017,2,2,0
群馬,2018,2,2,0
群馬,2019,2,2,0
群馬,2020,6,7,0
群馬,2021,7,8,0
群馬,2022,0,0,0
群馬,2023,4,4,0
群馬,2024,3,4,0
群馬,2025,8,10,0
埼玉,2008,0,0,0
埼玉,2009,0,0,0
埼玉,2010,0,0,0
埼玉,2011,1,1,0
埼玉,2012,0,0,0
埼玉,2013,0,0,0
埼玉,2014,1,1,0
埼玉,2015,0,0,0
埼玉,2016,2,2,0
埼玉,2017,0,0,0
埼玉,2018,1,1,0
埼玉,2019,0,0,0
埼玉,2020,0,0,0
埼玉,2021,0,0,0
埼玉,2022,0,0,0
埼玉,2023,0,0,0
埼玉,2024,1,1,0
埼玉,2025,0,0,0
千葉,2008,0,0,0
千葉,2009,0,0,0
千葉,2010,0,0,0
千葉,2011,0,0,0
千葉,2012,0,0,0
千葉,2013,0,0,0
千葉,2014,0,0,0
千葉,2015,0,0,0
千葉,2016,0,0,0
千葉,2017,0,0,0
千葉,2018,0,0,0
千葉,2019,0,0,0
千葉,2020,0,0,0
千葉,2021,0,0,0
千葉,2022,0,0,0
千葉,2023,0,0,0
千葉,2024,0,0,0
千葉,2025,0,0,0
東京,2008,1,1,0
東京,2009,0,0,0
東京,2010,1,1,0
東京,2011,0,0,0
東京,2012,0,0,0
東京,2013,0,0,0
東京,2014,1,1,0
東京,2015,0,0,0
東京,2016,0,0,0
東京,2017,1,1,0
東京,2018,0,0,0
東京,2019,2,2,0
東京,2020,0,0,0
東京,2021,0,0,0
東京,2022,2,2,0
東京,2023,0,0,0
東京,2024,0,0,0
東京,2025,1,1,0
神奈川,2008,1,1,0
神奈川,2009,1,1,0
神奈川,2010,0,0,0
神奈川,2011,0,0,0
神奈川,2012,0,0,0
神奈川,2013,0,0,0
神奈川,2014,0,0,0
神奈川,2015,0,0,0
神奈川,2016,1,1,0
神奈川,2017,0,0,0
神奈川,2018,0,0,0
神奈川,2019,0,0,0
神奈川,2020,0,0,0
神奈川,2021,0,0,0
神奈川,2022,0,0,0
神奈川,2023,0,0,0
神奈川,2024,1,1,0
神奈川,2025,0,0,0
新潟,2008,3,3,0
新潟,2009,1,1,0
新潟,2010,10,11,0
新潟,2011,2,3,0
新潟,2012,7,8,0
新潟,2013,0,0,0
新潟,2014,7,7,0
新潟,2015,3,3,0
新潟,2016,4,4,0
新潟,2017,5,5,0
新潟,2018,6,6,0
新潟,2019,16,20,0
新潟,2020,17,21,1
新潟,2021,1,1,0
新潟,2022,1,1,0
新潟,2023,9,10,0
新潟,2024,7,7,0
新潟,2025,13,14,0
富山,2008,4,5,0
富山,2009,0,0,0
富山,2010,9,10,0
富山,2011,1,1,0
富山,2012,0,0,0
富山,2013,1,1,0
富山,2014,2,2,0
富山,2015,2,3,0
富山,2016,3,3,0
富山,2017,4,4,0
富山,2018,2,2,0
富山,2019,13,20,0
富山,2020,5,6,0
富山,2021,1,1,0
富山,2022,2,2,0
富山,2023,7,9,1
富山,2024,1,1,0
富山,2025,4,4,0
石川,2008,0,0,0
石川,2009,1,1,0
石川,2010,5,5,0
石川,2011,0,0,0
石川,2012,4,4,0
石川,2013,1,1,0
石川,2014,5,5,0
石川,2015,2,2,0
石川,2016,2,2,0
石川,2017,2,2,0
石川,2018,2,2,0
石川,2019,6,6,0
石川,2020,10,15,0
石川,2021,0,0,0
石川,2022,0,0,0
石川,2023,3,5,0
石川,2024,3,3,0
石川,2025,0,0,0
福井,2008,0,0,0
福井,2009,2,2,0
福井,2010,7,8,0
福井,2011,0,0,0
福井,2012,0,0,0
福井,2013,3,3,0
福井,2014,4,4,0
福井,2015,1,1,0
福井,2016,2,2,0
福井,2017,3,4,0
福井,2018,0,0,0
福井,2019,9,9,0
福井,2020,12,12,0
福井,2021,2,2,0
福井,2022,0,0,0
福井,2023,2,2,0
福井,2024,0,0,0
福井,2025,1,1,0
山梨,2008,2,2,0
山梨,2009,1,1,0
山梨,2010,3,3,0
山梨,2011,4,4,0
山梨,2012,4,4,0
山梨,2013,0,0,0
山梨,2014,3,3,0
山梨,2015,0,0,0
山梨,2016,5,5,0
山梨,2017,4,4,0
山梨,2018,2,2,0
山梨,2019,2,2,0
山梨,2020,4,4,0
山梨,2021,1,1,0
山梨,2022,1,1,0
山梨,2023,2,2,0
山梨,2024,2,2,0
山梨,2025,2,2,0
長野,2008,12,12,0
長野,2009,5,6,0
長野,2010,14,14,0
長野,2011,4,7,0
長野,2012,7,7,0
長野,2013,3,3,0
長野,2014,31,32,0
長野,2015,6,6,0
長野,2016,9,9,0
長野,2017,6,7,0
長野,2018,5,5,0
長野,2019,8,8,0
