年度,都道府県,結実,出没件数,捕獲総数,捕殺,非捕殺,件数,被害人数,死亡者人数
2008,三重,,,0,0,0,0,0,0
2009,三重,,,0,0,0,0,0,0
2010,三重,,,0,0,0,0,0,0
2011,三重,,,0,0,0,0,0,0
2012,三重,,,0,0,0,0,0,0
2013,三重,,,0,0,0,1,1,0
2014,三重,,,0,0,0,0,0,0
2015,三重,,,0,0,0,0,0,0
2016,三重,,,0,0,0,1,1,0
2017,三重,,,0,0,0,0,0,0
2018,三重,,,0,0,0,0,0,0
2019,三重,,,0,0,0,0,0,0
2020,三重,,,2,2,0,2,3,0
2021,三重,,12,0,0,0,0,0,0
2022,三重,,19,1,0,1,0,0,0
2023,三重,,40,2,0,2,1,1,0
2024,三重,,162,9,6,3,1,1,0
2025,三重,,53,2,1,1,0,0,0
2008,京都,,,23,8,15,0,0,0
2009,京都,,,7,4,3,0,0,0
2010,京都,,,117,54,63,6,7,0
2011,京都,,,11,4,7,0,0,0
2012,京都,,,10,2,8,1,1,0
2013,京都,,,40,19,21,0,0,0
2014,京都,,,26,24,2,0,0,0
2015,京都,,,41,41,0,1,1,0
2016,京都,,,68,68,0,4,4,0
2017,京都,,,83,83,0,0,0,0
2018,京都,,,103,103,0,0,0,0
2019,京都,,,170,170,0,0,0,0
2020,京都,,,132,132,0,2,2,0
2021,京都,,876,104,103,1,1,1,0
2022,京都,,988,114,114,0,2,2,0
2023,京都,,868,83,83,0,1,1,0
2024,京都,,1908,291,280,11,1,1,0
2025,京都,,754,48,48,0,1,1,0
2008,兵庫,,,12,3,9,0,0,0
2009,兵庫,,,4,2,2,1,1,0
2010,兵庫,,,101,69,32,5,5,0
2011,兵庫,,,6,2,4,2,2,0
2012,兵庫,,,15,15,0,0,0,0
2013,兵庫,,,12,12,0,0,0,0
2014,兵庫,,,30,30,0,0,0,0
2015,兵庫,,,18,18,0,0,0,0
2016,兵庫,,,30,30,0,3,3,0
2017,兵庫,,,34,33,1,2,2,0
2018,兵庫,,,60,58,2,0,0,0
2019,兵庫,,,120,120,0,2,2,0
2020,兵庫,,,54,54,0,2,2,0
2021,兵庫,,589,57,55,2,2,3,0
2022,兵庫,,509,37,36,1,0,0,0
2023,兵庫,,524,34,34,0,0,0,0
2024,兵庫,,1128,177,107,70,2,2,0
2025,兵庫,,384,32,32,0,1,1,0
2008,北海道,,,355,351,4,3,3,3
2009,北海道,,,610,606,4,2,2,0
2010,北海道,,,476,470,6,3,3,2
2011,北海道,,,696,692,4,2,3,1
2012,北海道,,,654,654,0,2,2,0
